"2175-3369","2016","urbe. Revista Brasileira de Gestão Urbana","5","9","http://scholar.google.com/citations?view_op=list_hcore&venue=CBFz8xL9o-4J.2016&hl=en"
"0002-0591","2016","Afro-Ásia","5","5","http://scholar.google.com/citations?view_op=list_hcore&venue=dpVUld7wGh0J.2016&hl=en"
"0102-3306","2016","Acta Botanica Brasilica","11","16","http://scholar.google.com/citations?view_op=list_hcore&venue=5U6g3Eyy10gJ.2016&hl=en"
"0066-782X","2016","Arquivos Brasileiros de Cardiologia","26","38","http://scholar.google.com/citations?view_op=list_hcore&venue=QSaoYfYer0QJ.2016&hl=en"
"0004-2730","2016","Arquivos Brasileiros de Endocrinologia & Metabologia","21","27","http://scholar.google.com/citations?view_op=list_hcore&venue=Yklr6JobIWoJ.2016&hl=en"
"0004-2749","2016","Arquivos Brasileiros de Oftalmologia","14","20","http://scholar.google.com/citations?view_op=list_hcore&venue=RbJaQ-3UqUwJ.2016&hl=en"
"0102-8650","2016","Acta Cirurgica Brasileira","16","22","http://scholar.google.com/citations?view_op=list_hcore&venue=1mOnjKBaM7kJ.2016&hl=en"
"1516-1498","2016","Ágora: Estudos em Teoria Psicanalítica","5","7","http://scholar.google.com/citations?view_op=list_hcore&venue=NjG4GXKidVQJ.2016&hl=en"
"1981-5794","2016","Alfa: Revista de Linguística (São José do Rio Preto)","2","4","http://scholar.google.com/citations?view_op=list_hcore&venue=3KK5Dm8On7cJ.2016&hl=en"
"0004-282X","2016","Arquivos de Neuro-Psiquiatria","22","28","http://scholar.google.com/citations?view_op=list_hcore&venue=eWydlrm6X40J.2016&hl=en"
"0103-2100","2016","Acta Paulista de Enfermagem","21","24","http://scholar.google.com/citations?view_op=list_hcore&venue=WHDXiUrfw2oJ.2016&hl=en"
"1414-753X","2016","Ambiente & Sociedade","10","14","http://scholar.google.com/citations?view_op=list_hcore&venue=6hK8KYw9jgcJ.2016&hl=en"
"1807-7692","2016","BAR-Brazilian Administration Review","13","21","http://scholar.google.com/citations?view_op=list_hcore&venue=HHP1ZwbNXaIJ.2016&hl=en"
"1982-2170","2016","Boletim de Ciencias Geodesicas","7","9","http://scholar.google.com/citations?view_op=list_hcore&venue=zVJ_X51HDOcJ.2016&hl=en"
"1981-8122","2016","Boletim do Museu Paraense Emílio Goeldi. Ciências Humanas","4","7","http://scholar.google.com/citations?view_op=list_hcore&venue=X7oAWSeLFTkJ.2016&hl=en"
"1808-8694","2016","Brazilian Journal of Otorhinolaryngology","19","24","http://scholar.google.com/citations?view_op=list_hcore&venue=neVSTnFxo_gJ.2016&hl=en"
"0006-8705","2016","Bragantia","13","15","http://scholar.google.com/citations?view_op=list_hcore&venue=PpTnSR_xdswJ.2016&hl=en"
"0101-3262","2016","Cadernos CEDES","2","4","http://scholar.google.com/citations?view_op=list_hcore&venue=2mwT-EeBIpYJ.2016&hl=en"
"0366-6913","2016","Cerâmica","7","10","http://scholar.google.com/citations?view_op=list_hcore&venue=_3UkHlJIEawJ.2016&hl=en"
"1516-7313","2016","Ciência & Educação (Bauru)","3","4","http://scholar.google.com/citations?view_op=list_hcore&venue=wBM-mEaJmlQJ.2016&hl=en"
"0103-8478","2016","Ciência Rural","17","22","http://scholar.google.com/citations?view_op=list_hcore&venue=9v6w5W3QvFgJ.2016&hl=en"
"0101-2061","2016","Ciência e Tecnologia de Alimentos","15","21","http://scholar.google.com/citations?view_op=list_hcore&venue=_hUF4JJT7qEJ.2016&hl=en"
"0102-4450","2016","DELTA: Documentação de Estudos em Lingüística Teórica e Aplicada","3","7","http://scholar.google.com/citations?view_op=list_hcore&venue=WlQX6nmecDYJ.2016&hl=en"
"0103-4014","2016","Estudos Avançados","17","33","http://scholar.google.com/citations?view_op=list_hcore&venue=xjswQ-5EqKYJ.2016&hl=en"
"0104-0618","2016","Economia e Sociedade","10","32","http://scholar.google.com/citations?view_op=list_hcore&venue=NVBLiIY5di8J.2016&hl=en"
